ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
221773_at,5.281560895,5.045396359,5.331982684,5.277247841,5.366032545,4.89691472
221774_x_at,4.849524041,4.499548144,4.451053913,5.367527337,5.012045608,5.254655015
221777_at,7.487824126,7.570269751,7.407870111,7.760744066,7.568049883,7.675429856
221778_at,5.649769296,5.889263808,5.461098149,6.105867051,6.124499337,6.016852748
221779_at,6.009317776,5.908177647,5.938232005,6.078553353,5.773538307,5.722267734
221780_s_at,6.636336052,6.595162834,6.688273959,6.802435856,6.530769205,6.724072285
221781_s_at,6.334857691,6.389235369,6.244634375,6.435937505,6.389913696,6.456350913
221782_at,6.269393358,6.523530919,6.598541911,6.382682639,6.54950696,6.360344668
221783_at,5.783344006,5.72364612,5.797600619,6.073919931,5.812293008,5.590346423
221784_at,4.491921441,4.499616452,4.570690415,4.479004424,4.544944201,4.533082519
221785_at,4.547035302,4.667864301,4.584370924,3.909981772,4.570231914,4.534845426
221786_at,7.79538379,7.755331596,7.783277994,7.984889118,7.935745244,7.881066359
221787_at,7.656680407,7.82128963,7.657148591,7.957826865,7.877834183,7.835492064
221788_at,4.701778397,4.729087107,4.82590714,5.094066548,5.059113218,4.879318348
221789_x_at,5.800939814,5.674434674,5.581149622,5.573562811,5.758907131,5.713113401
221790_s_at,5.0363717,4.723175801,4.821021809,5.420633414,5.022775674,4.902782085
221792_at,5.263366084,5.229965053,5.212609211,5.146264251,5.006684881,5.022115166
221794_at,4.558687267,4.639447927,4.614280506,5.188330303,4.981042629,4.797390449
221797_at,7.00166091,6.970372606,6.9974604,7.746872611,7.291903657,7.388563282
221799_at,5.151018495,4.931033815,5.055632562,5.195058009,5.172620596,5.126661475
221800_s_at,6.159831401,5.798690497,6.089912036,6.114297282,5.998237004,5.875918486
221801_x_at,5.984780463,5.875421656,6.076773294,5.575000447,5.566119084,5.659553789
221802_s_at,6.555016664,6.481069062,6.478660647,6.408320677,6.399706855,6.204532427
221803_s_at,5.953646665,6.341616163,6.15064372,6.649640721,6.299171759,6.339814751
221805_at,8.155925634,8.16073934,8.09245754,8.013078946,8.08374863,7.872560946
221806_s_at,6.997692221,7.176677981,6.804012887,6.778070775,7.574024699,7.421701449
221807_s_at,5.179540918,4.837002365,5.119040046,4.813955416,4.705901162,5.102009953
221808_at,8.582375776,8.655325548,8.591181393,9.113263858,8.930197626,8.908484328
221809_at,4.764751343,4.636633179,4.672195226,5.065304111,4.776280735,4.653328775
221810_at,4.555902796,4.35706869,4.338920701,4.612743352,4.492814351,4.496503394
