Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
222791_at,0.7127178673196477,5.770291048,5.625700948,-0.1445900999999994,0.5153905095508443,0.6852435686685876,RSBN1,54665
203859_s_at,-0.7127364751349925,4.97661571,4.770081636,-0.20653407400000034,0.5153801592809909,0.6852435686685876,PALM,5064
200048_s_at,-0.7123982555113314,10.30113079,10.26667004,-0.03446075000000093,0.5155683117605797,0.6854073426860555,JTB,10899
209141_at,-0.7123477324569848,8.494697998,8.370315516,-0.12438248199999968,0.5155964221883635,0.6854073426860555,UBE2G1,7326
201519_at,0.7120516105647137,7.65938721,7.706403964,0.047016753999999494,0.5157612034594765,0.6854152304177904,TOMM70A,9868
216620_s_at,-0.712116747461473,4.764572709,4.684116901,-0.08045580799999996,0.5157249537923779,0.6854152304177904,ARHGEF10,9639
201317_s_at,0.7120397126583397,8.913130044,9.050798096,0.13766805199999865,0.5157678250255906,0.6854152304177904,PSMA2,5683
50277_at,-0.7122089758860355,7.653153316,7.656237336,0.003084020000000187,0.5156736304710889,0.6854152304177904,GGA1,26088
224792_at,-0.711776013832881,4.73492781,4.605404929,-0.12952288100000064,0.5159145978452865,0.6855552948671547,TNKS1BP1,85456
223104_at,-0.7115895918505862,7.080925976,7.022345848,-0.05858012800000001,0.5160183773880486,0.6856382113025322,JAGN1,84522
200934_at,-0.7115152297054229,9.869198653,9.820574725,-0.048623927999999594,0.5160597784282396,0.6856382382148586,DEK,7913
212287_at,0.7113315756405064,7.805234538,7.85713888,0.05190434200000027,0.5161620380352465,0.6857191154751443,SUZ12,23512
43977_at,-0.7104324574047736,7.581261939,7.571250012,-0.010011926999999865,0.5166628860142524,0.6862744395037796,TMEM161A,54929
217931_at,0.7104536226166172,5.15964126,5.249673596,0.09003233600000016,0.516651091987393,0.6862744395037796,CNPY3,10695
216338_s_at,-0.7102906432379957,6.479748271,6.50752798,0.02777970899999982,0.51674191511066,0.6863243921016854,YIPF3,25844
200743_s_at,-0.7101001389201824,7.096015661,7.07634764,-0.019668021000000202,0.5168480917843208,0.6864103905718508,TPP1,1200
212243_at,-0.7099677880036951,6.503553903,6.455814976,-0.04773892700000015,0.516921866324004,0.6864533464071831,GCOM1 /// POLR2M,81488 /// 145781
209506_s_at,-0.709456098318772,5.333526519,5.272854652,-0.060671866999999935,0.5172071628137512,0.6867771662655109,NR2F1 /// NR2F2,7025 /// 7026
202866_at,-0.7092708910325014,6.379510528,6.314720977,-0.06478955099999961,0.5173104548997928,0.6868592777654192,DNAJB12,54788
231832_at,-0.7088026247476716,4.858258532,4.580351032,-0.27790749999999953,0.5175716792228905,0.6871510539298135,GALNT4 /// POC1B-GALNT4,8693 /// 100528030
217419_x_at,-0.7086867487163543,4.03348594,4.049651835,0.01616589499999943,0.5176363360204502,0.6871636813572377,AGRN,375790
225501_at,-0.7084882979308769,8.216604409,8.16028166,-0.05632274899999956,0.5177470817830742,0.6871636813572377,PHF6,84295
223419_at,-0.7085059784655067,5.171488005,5.078744043,-0.09274396199999924,0.5177372144320392,0.6871636813572377,FBXW9,84261
